Price Date,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
2019-10-31,White,FAQ,7000,9000,8500.0
2019-10-31,White,FAQ,8840,8840,8840.0
2019-10-31,White,FAQ,8900,9250,9050.0
2019-10-31,White,FAQ,8600,10140,9200.0
2019-10-31,White,FAQ,9135,9930,9600.0
2019-10-31,White,FAQ,9000,9210,9205.0
2019-10-31,White,FAQ,8500,9500,9000.0
2019-10-31,White,FAQ,8775,8870,8820.0
2019-10-31,White,FAQ,8280,8360,8330.0
2019-10-31,White,FAQ,9300,9410,9320.0
2019-10-31,White,FAQ,7600,8800,8500.0
2019-10-31,White,FAQ,7800,8290,8045.0
2019-10-31,White,FAQ,9500,9500,9500.0
2019-10-31,White,FAQ,9000,9800,9500.0
2019-10-31,White,FAQ,8950,9010,9000.0
2019-10-31,White,FAQ,8800,9000,8900.0
2019-10-31,White,FAQ,8700,9620,8800.0
2019-10-31,White,FAQ,8500,8800,8650.0
2019-10-31,White,FAQ,7017,8300,8000.0
2019-10-31,White,FAQ,7325,9495,8338.0
2019-11-01,White,FAQ,9095,9900,9700.0
2019-11-01,White,FAQ,8125,11000,10650.0
2019-11-01,White,FAQ,8775,8775,8775.0
2019-11-01,White,FAQ,9250,11500,10375.0
2019-11-01,White,FAQ,9200,9300,9250.0
2019-11-01,White,FAQ,8500,9825,9000.0
2019-11-01,White,FAQ,8050,10650,8870.0
2019-11-01,White,FAQ,8000,9500,9000.0
2019-11-01,White,FAQ,7800,7800,7800.0
2019-11-01,White,FAQ,7500,11685,10650.0
2019-11-01,White,FAQ,8730,8850,8800.0
2019-11-01,White,FAQ,8760,10270,9515.0
2019-11-01,White,FAQ,8000,11505,9752.0
2019-11-01,White,FAQ,9000,10200,9600.0
2019-11-01,White,FAQ,8700,8950,8800.0
2019-11-01,White,FAQ,7600,9044,8500.0
2019-11-01,White,FAQ,8500,9000,8750.0
2019-11-01,White,FAQ,7500,11000,9350.0
2019-11-01,White,FAQ,8650,10850,9750.0
2019-11-01,White,FAQ,7505,11505,9605.0
2019-11-01,White,FAQ,9200,9265,9250.0
2019-11-01,White,FAQ,8755,11705,10400.0
2019-11-01,White,FAQ,8500,9600,9000.0
2019-11-01,White,FAQ,8200,10410,9500.0
2019-11-01,White,FAQ,9050,9160,9100.0
2019-11-01,White,FAQ,7500,9555,8500.0
2019-11-01,White,FAQ,8500,9820,9160.0
